family,anchor,metric,condition,interpolation_lambda,effect_vs_baseline,contrast_vs_adamw_native
dense,dense/muon-lr1e-3/checkpoint-782,positive_score,adamw-native,0.0,0.0017438616071428572,0.0
dense,dense/muon-lr1e-3/checkpoint-782,positive_score,adam-basis__spectrum-lambda-0.25,0.25,0.00045340401785714287,-0.0012904575892857145
dense,dense/muon-lr1e-3/checkpoint-782,positive_score,adam-basis__spectrum-lambda-0.50,0.5,-0.0004185267857142857,-0.002162388392857143
dense,dense/muon-lr1e-3/checkpoint-782,positive_score,adam-basis__spectrum-lambda-0.75,0.75,-0.0010114397321428572,-0.0027553013392857145
dense,dense/muon-lr1e-3/checkpoint-782,positive_score,adam-basis__muon-spectrum,1.0,-0.0013602120535714285,-0.003104073660714286
dense,dense/muon-lr1e-3/checkpoint-782,hardest_negative_score,adamw-native,0.0,0.0015956333705357143,0.0
dense,dense/muon-lr1e-3/checkpoint-782,hardest_negative_score,adam-basis__spectrum-lambda-0.25,0.25,0.00032261439732142856,-0.0012730189732142857
dense,dense/muon-lr1e-3/checkpoint-782,hardest_negative_score,adam-basis__spectrum-lambda-0.50,0.5,-0.0005841936383928571,-0.0021798270089285715
dense,dense/muon-lr1e-3/checkpoint-782,hardest_negative_score,adam-basis__spectrum-lambda-0.75,0.75,-0.0013689313616071428,-0.002964564732142857
dense,dense/muon-lr1e-3/checkpoint-782,hardest_negative_score,adam-basis__muon-spectrum,1.0,-0.0015171595982142857,-0.00311279296875
dense,dense/muon-lr1e-3/checkpoint-782,positive_margin,adamw-native,0.0,0.00014822823660714285,0.0
dense,dense/muon-lr1e-3/checkpoint-782,positive_margin,adam-basis__spectrum-lambda-0.25,0.25,0.00013078962053571428,-1.7438616071428564e-05
dense,dense/muon-lr1e-3/checkpoint-782,positive_margin,adam-basis__spectrum-lambda-0.50,0.5,0.00016566685267857144,1.743861607142859e-05
dense,dense/muon-lr1e-3/checkpoint-782,positive_margin,adam-basis__spectrum-lambda-0.75,0.75,0.0003574916294642857,0.00020926339285714285
dense,dense/muon-lr1e-3/checkpoint-782,positive_margin,adam-basis__muon-spectrum,1.0,0.00015694754464285715,8.719308035714309e-06
dense,dense/muon-lr1e-3/checkpoint-782,reciprocal_rank,adamw-native,0.0,0.0005208333022892475,0.0
dense,dense/muon-lr1e-3/checkpoint-782,reciprocal_rank,adam-basis__spectrum-lambda-0.25,0.25,-0.0007440477077450071,-0.0012648810100342545
dense,dense/muon-lr1e-3/checkpoint-782,reciprocal_rank,adam-basis__spectrum-lambda-0.50,0.5,-0.0048363096346812585,-0.005357142936970506
dense,dense/muon-lr1e-3/checkpoint-782,reciprocal_rank,adam-basis__spectrum-lambda-0.75,0.75,0.0011160712955253465,0.000595237993236099
dense,dense/muon-lr1e-3/checkpoint-782,reciprocal_rank,adam-basis__muon-spectrum,1.0,0.0005208332357662064,-6.652304109042856e-11
dense,dense/muon-lr1e-3/checkpoint-782,top1_accuracy,adamw-native,0.0,0.0,0.0
dense,dense/muon-lr1e-3/checkpoint-782,top1_accuracy,adam-basis__spectrum-lambda-0.25,0.25,-0.004464285714285714,-0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-782,top1_accuracy,adam-basis__spectrum-lambda-0.50,0.5,-0.013392857142857142,-0.013392857142857142
dense,dense/muon-lr1e-3/checkpoint-782,top1_accuracy,adam-basis__spectrum-lambda-0.75,0.75,0.0,0.0
dense,dense/muon-lr1e-3/checkpoint-782,top1_accuracy,adam-basis__muon-spectrum,1.0,0.0,0.0
dense,dense/normuon-lr1e-3/checkpoint-2345,contrastive_loss,adamw-native,0.0,-0.025050413106068196,0.0
dense,dense/normuon-lr1e-3/checkpoint-2345,contrastive_loss,adam-basis__spectrum-lambda-0.25,0.25,-0.026832208153142086,-0.0017817950470738891
dense,dense/normuon-lr1e-3/checkpoint-2345,contrastive_loss,adam-basis__spectrum-lambda-0.50,0.5,-0.02018244906957989,0.004867964036488308
dense,dense/normuon-lr1e-3/checkpoint-2345,contrastive_loss,adam-basis__spectrum-lambda-0.75,0.75,-0.01577124247017179,0.009279170635896405
dense,dense/normuon-lr1e-3/checkpoint-2345,contrastive_loss,adam-basis__muon-spectrum,1.0,-0.010908518030061844,0.014141895076006352
dense,dense/normuon-lr1e-3/checkpoint-2345,positive_score,adamw-native,0.0,-0.00152587890625,0.0
dense,dense/normuon-lr1e-3/checkpoint-2345,positive_score,adam-basis__spectrum-lambda-0.25,0.25,-0.0016043526785714285,-7.847377232142851e-05
dense,dense/normuon-lr1e-3/checkpoint-2345,positive_score,adam-basis__spectrum-lambda-0.50,0.5,-0.0017264229910714285,-0.0002005440848214285
dense,dense/normuon-lr1e-3/checkpoint-2345,positive_score,adam-basis__spectrum-lambda-0.75,0.75,-0.0014474051339285715,7.847377232142851e-05
dense,dense/normuon-lr1e-3/checkpoint-2345,positive_score,adam-basis__muon-spectrum,1.0,-0.0014735630580357143,5.2315848214285745e-05
dense,dense/normuon-lr1e-3/checkpoint-2345,hardest_negative_score,adamw-native,0.0,-0.00347900390625,0.0
dense,dense/normuon-lr1e-3/checkpoint-2345,hardest_negative_score,adam-basis__spectrum-lambda-0.25,0.25,-0.0035226004464285715,-4.359654017857149e-05
dense,dense/normuon-lr1e-3/checkpoint-2345,hardest_negative_score,adam-basis__spectrum-lambda-0.50,0.5,-0.0031215122767857145,0.00035749162946428553
dense,dense/normuon-lr1e-3/checkpoint-2345,hardest_negative_score,adam-basis__spectrum-lambda-0.75,0.75,-0.0027029854910714285,0.0007760184151785715
