family,anchor,metric,band,condition,effect_vs_baseline,contrast_vs_adamw_native
dense,dense/normuon-lr1e-3/checkpoint-782,hardest_negative_score,head,adam-basis__muon-head-spectrum,-0.0012904575892857143,-0.002955845424107143
dense,dense/normuon-lr1e-3/checkpoint-782,hardest_negative_score,middle,adam-basis__muon-middle-spectrum,0.0012381417410714285,-0.00042724609375
dense,dense/normuon-lr1e-3/checkpoint-782,hardest_negative_score,tail,adam-basis__muon-tail-spectrum,0.001708984375,4.359654017857149e-05
dense,dense/normuon-lr1e-3/checkpoint-782,positive_margin,head,adam-basis__muon-head-spectrum,0.0005057198660714286,-9.591238839285713e-05
dense,dense/normuon-lr1e-3/checkpoint-782,positive_margin,middle,adam-basis__muon-middle-spectrum,0.000732421875,0.00013078962053571425
dense,dense/normuon-lr1e-3/checkpoint-782,positive_margin,tail,adam-basis__muon-tail-spectrum,0.0005231584821428571,-7.847377232142862e-05
dense,dense/normuon-lr1e-3/checkpoint-782,reciprocal_rank,head,adam-basis__muon-head-spectrum,0.007440476146127496,-0.0046130952957485405
dense,dense/normuon-lr1e-3/checkpoint-782,reciprocal_rank,middle,adam-basis__muon-middle-spectrum,0.011160714285714286,-0.0008928571561617506
dense,dense/normuon-lr1e-3/checkpoint-782,reciprocal_rank,tail,adam-basis__muon-tail-spectrum,0.0053571428704474655,-0.006696428571428571
dense,dense/normuon-lr1e-3/checkpoint-782,top1_accuracy,head,adam-basis__muon-head-spectrum,0.017857142857142856,-0.008928571428571428
dense,dense/normuon-lr1e-3/checkpoint-782,top1_accuracy,middle,adam-basis__muon-middle-spectrum,0.026785714285714284,0.0
dense,dense/normuon-lr1e-3/checkpoint-782,top1_accuracy,tail,adam-basis__muon-tail-spectrum,0.013392857142857142,-0.013392857142857142
dense,dense/pretrained,contrastive_loss,head,adam-basis__muon-head-spectrum,-0.03058055176682371,0.0179577256245206
dense,dense/pretrained,contrastive_loss,middle,adam-basis__muon-middle-spectrum,-0.045726588251584745,0.002811689139759564
dense,dense/pretrained,contrastive_loss,tail,adam-basis__muon-tail-spectrum,-0.05049622709754788,-0.0019579497062035683
dense,dense/pretrained,positive_score,head,adam-basis__muon-head-spectrum,0.004237583705357143,-0.004586356026785715
dense,dense/pretrained,positive_score,middle,adam-basis__muon-middle-spectrum,0.007821219308035714,-0.0010027204241071438
dense,dense/pretrained,positive_score,tail,adam-basis__muon-tail-spectrum,0.008553641183035714,-0.00027029854910714385
dense,dense/pretrained,hardest_negative_score,head,adam-basis__muon-head-spectrum,0.003208705357142857,-0.00360107421875
dense,dense/pretrained,hardest_negative_score,middle,adam-basis__muon-middle-spectrum,0.005955287388392857,-0.0008544921875
dense,dense/pretrained,hardest_negative_score,tail,adam-basis__muon-tail-spectrum,0.006548200334821429,-0.0002615792410714281
dense,dense/pretrained,positive_margin,head,adam-basis__muon-head-spectrum,0.0010288783482142857,-0.0009852818080357143
dense,dense/pretrained,positive_margin,middle,adam-basis__muon-middle-spectrum,0.0018659319196428572,-0.00014822823660714276
dense,dense/pretrained,positive_margin,tail,adam-basis__muon-tail-spectrum,0.0020054408482142855,-8.719308035714472e-06
dense,dense/pretrained,reciprocal_rank,head,adam-basis__muon-head-spectrum,0.0068452381528913975,-0.0027848640456795692
dense,dense/pretrained,reciprocal_rank,middle,adam-basis__muon-middle-spectrum,0.008928571561617511,-0.0007015306369534558
dense,dense/pretrained,reciprocal_rank,tail,adam-basis__muon-tail-spectrum,0.008928571561617511,-0.0007015306369534558
dense,dense/pretrained,top1_accuracy,head,adam-basis__muon-head-spectrum,0.008928571428571428,-0.004464285714285714
dense,dense/pretrained,top1_accuracy,middle,adam-basis__muon-middle-spectrum,0.013392857142857142,0.0
dense,dense/pretrained,top1_accuracy,tail,adam-basis__muon-tail-spectrum,0.013392857142857142,0.0
