family,anchor,challenger,reference,direction,relative_scale,samples,delta_delta_contrastive_loss,delta_delta_positive_score,delta_delta_hardest_negative_score,delta_delta_positive_margin,delta_delta_reciprocal_rank,delta_delta_top1_accuracy
dense,dense/normuon-lr1e-3/checkpoint-3907,normuon,adamw,descent,0.001,224,0.0023190771431213114,0.0008283342633928571,0.0015345982142857143,-0.0007062639508928571,-0.005208333422030721,-0.013392857142857142
dense,dense/normuon-lr1e-3/checkpoint-3907,normuon,adamw,sign_reversal,0.001,224,-0.005823345907369263,-0.0010288783482142857,-0.0019967215401785715,0.0009678431919642857,0.0018601190032703535,0.0
late,late/pretrained,muon,adamw,descent,0.0001,224,-0.0020485362133711516,1.1635944247245789e-05,8.34385199206216e-06,3.2920922551836284e-06,0.00018601192693625177,0.0
late,late/pretrained,muon,adamw,descent,0.0003,224,0.00021750108506310033,5.115222718034472e-05,4.099016743046897e-05,1.0162059749875749e-05,0.0,0.0
late,late/pretrained,muon,adamw,descent,0.001,224,0.006534875788308676,0.00014646963349410465,0.00014399178326129913,2.4778502328055244e-06,-0.002418154784079109,-0.004464285714285714
late,late/pretrained,muon,adamw,sign_reversal,0.001,224,0.00043496549272606773,-0.00018514533128057207,-0.0002074481121131352,2.230278083256313e-05,0.0,0.0
late,late/pretrained,normuon,adamw,descent,0.0001,224,-0.0023705169043638985,2.3147623453821454e-05,1.6268076641219003e-05,6.879546812602452e-06,0.0002923044376075268,0.0
late,late/pretrained,normuon,adamw,descent,0.0003,224,0.0028431094117403583,5.439668893814087e-05,5.6394508906773157e-05,-1.9978199686322895e-06,0.00025510202561106,0.0
late,late/pretrained,normuon,adamw,descent,0.001,224,0.006434032633422048,0.0001767905695097787,0.00019050070217677524,-1.3710132666996547e-05,-0.000106292510671275,0.0
late,late/pretrained,normuon,adamw,sign_reversal,0.001,224,-0.0020737884977058813,-0.00022734941116401127,-0.00026992814881461006,4.25787376505988e-05,0.0021524234408778803,0.004464285714285714
late,late/adamw-lr1e-5/checkpoint-782,muon,adamw,descent,0.0001,224,0.0015236763057591776,0.00013947194176060812,0.00017237902751990726,-3.290708575929914e-05,-0.0026041665779692785,-0.004464285714285714
late,late/adamw-lr1e-5/checkpoint-782,muon,adamw,descent,0.0003,224,-0.003928257923849036,0.00043791293033531735,0.0005175902375153133,-7.967730717999595e-05,-0.002232142857142857,-0.004464285714285714
late,late/adamw-lr1e-5/checkpoint-782,muon,adamw,descent,0.001,224,-0.007802297428331574,0.0014804370169128691,0.0017353902970041548,-0.0002549532800912857,-0.000744047574698925,0.0
late,late/adamw-lr1e-5/checkpoint-782,muon,adamw,sign_reversal,0.001,224,0.006647116201755589,-0.001344637679202216,-0.0016085005232266017,0.0002638628440243857,0.0029761905648878644,0.004464285714285714
late,late/adamw-lr1e-5/checkpoint-782,normuon,adamw,descent,0.0001,224,0.0014058810466229335,0.000156093920980181,0.00019310760710920607,-3.701368612902505e-05,0.0,0.0
late,late/adamw-lr1e-5/checkpoint-782,normuon,adamw,descent,0.0003,224,-0.0034604636671711525,0.0004944016358682088,0.0005850948925529208,-9.0693256684712e-05,-0.002232142857142857,-0.004464285714285714
late,late/adamw-lr1e-5/checkpoint-782,normuon,adamw,descent,0.001,224,-0.00996328010144116,0.0016666813088314874,0.0019522966550929205,-0.0002856153462614332,-0.000744047574698925,0.0
